name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Algiers,Algeria",2021-01-02T15:00:00,45.4,41.6,41.8,87.22,0,0,,,,,7.1,248,1026.9,87.8,6.2,236.6,0.9,2,,Partially cloudy,partly-cloudy-day,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-02T16:00:00,45.9,42,42,86.09,0,0,,,,,7.5,206,1010.1,44.3,6.2,138.8,0.5,1,,Partially cloudy,partly-cloudy-day,"60373099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-02T17:00:00,44.6,41.4,41,87.1,0,0,,,,,5.8,250,,89.1,6.2,18.5,0.1,0,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T18:00:00,44.6,41.4,37.4,75.69,0,0,,,,,5.8,270,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T19:00:00,48,45.4,39.9,73.55,0.08,100,rain,,,,5.8,226,1010.5,50.8,6.2,0,,0,,"Rain, Partially cloudy",rain,"60390099999,60415099999,9V8207,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-02T20:00:00,42.8,39.2,35.6,75.52,0,0,,,,,5.8,250,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T21:00:00,42.8,39.2,35.6,75.52,0,0,,,,,5.8,310,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T22:00:00,45.9,45,37.8,73.11,0,0,,,,,3.1,337,1010.8,33.2,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60373099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-02T23:00:00,45.3,40.9,38.1,75.88,0,0,,,,,8.2,326,1023.3,88.7,6.4,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-03T00:00:00,46.4,41.5,37.4,70.7,0,0,,,,,10.3,270,,89.1,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T01:00:00,47.2,43.4,38.7,72.08,0.02,100,rain,,,,7.9,187,1010.6,80.3,6.2,0,,0,,"Rain, Partially cloudy",rain,"60390099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-03T02:00:00,42.8,40,33.8,70.3,0,0,,,,,4.7,270,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
